id,n_gt,n_pred,count_error,mAP_image
58cc121d37fb7f1b4a5252024d88415936781e540252b8f734faeedd29b682d5,49,41,8,0.3131617603304343
e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f,15,13,2,0.36463009132574353
1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,76,70,6,0.6140977725552499
4d40de30a3db3bc4f241cb7f48e8497c11e8f20a99bf55788bdce17242029745,28,24,4,0.5284770114942529
483b89aa683542f1c63e62f5f71ae8ae1f959caf1c379cd61230a71cd1036732,13,13,0,0.8522142857142857
07fb37aafa6626608af90c1e18f6a743f29b6b233d2e427dcd1102df6a916cf5,313,186,127,0.1465802172019693
f534b43bf37ff946a310a0f08315d76c3fb3394681cf523acef7c0682240072a,18,15,3,0.5560897435897436
df9a4212ecb67bb4e58eba62f293b91f9d6f1dde73e38fa891c75661d419fc97,26,25,1,0.751056574239714
13f2bec0a24c70345372febb14c4352877b1b6c1b01896246048e83c345c0914,17,16,1,0.1177015135865247
79fe419488ba98494e3baa35c6fef9662eda1efe325d0ab0ac002f5383245d96,74,50,24,0.283072584651194
7c0157913223365720209ac83ff2e0b1b2b460173acd615c67646014093a2b97,25,22,3,0.6812494912494912
1631352dbafb8a90f11219fffd3bea368a30bc3bad3bbe0e84e19bd720df4945,32,29,3,0.4031367382286001
136000dc18fa6def2d6c98d4d0b2084d13c22eaffe82e26c665bcaa2a9e51261,34,29,5,0.3311329566750795
88678981648b184b23b6c04999f29210cbe351f85b61d2bf99e306fd67a2998a,10,10,0,0.8481203007518797
e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,130,114,16,0.6120703897732749
84eeec681987753029eb83ea5f3ff7e8b5697783cdb2035f2882d40c9a3f1029,1,1,0,0.8
04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e,82,75,7,0.34499297137040946
af8621ef0db8c26b0bce6385bd5609b584bfd678fcf7a234b8a15e6bb05c15ac,22,21,1,0.7328380726027784
40b00d701695d8ea5d59f95ac39e18004040c96d17fbc1a539317c674eca084b,24,20,4,0.17388213114075307
f4c4db3df4ff0de90f44b027fc2e28c16bf7e5c75ea75b0a9762bbb7ac86e7a3,68,0,68,0.0
f6b16c885c0b2bc0d0eb2bb2eeb0a2753ebafb5a7a91da10e89b0b0478984637,8,7,1,0.6696428571428571
45f059cf21d85ecfce0eb93260516f1e2443d210e9a52f9ae2271d604aa3fcc5,15,18,3,0.16304520896233912
a486f6ed4b8781e7883e433d06a83dd66db3e8b36d45b9976c4214820ee22629,53,47,6,0.6433532258662256
16c3d5935ba94b720becc24b7a05741c26149e221e3401924080f41e2f891368,11,8,3,0.30296317244846654
1b2bf5933b0fb82918d278983bee66e9532b53807c3638efd9af66d20a2bae88,11,11,0,0.7624561403508772
e5a6c5e01e6a4ef676a2d975374e995dd55792ea317a8e110bebc37da83a4ce8,26,15,11,0.3506653496308669
93c5638e7e6433b5c9cc87c152bcbe28873d2f9d6a392cca0642520807542a77,1,1,0,0.7
05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13,24,23,1,0.7952929606625257
abc781c8721fe04b877a7e324494eb75aa5bce94950a0e4e4d7d6ffc9e74da62,11,8,3,0.5887445887445887
8175a55b711c948fe383bd3b91b6ca1b9e048a5241e0be13aff31ce2674fbe6d,11,11,0,0.8039926739926739
f4faa3a409014db1865074c5f66a0255f71ae3faba03265da0b3b91f68e8a8f0,14,13,1,0.8578571428571429
8b12e18670e4b24d03567d1e17c0c24fadf0ea2c1e763983dd6bb4c44b7376a6,7,7,0,0.8400000000000001
c44ed955eb2e5c8d820b01477e122b32eff6dd475343e11229c33d8af3473b22,123,109,14,0.5381582324184871
3934a094e8537841e973342c7f8880606f7a2712b14930340d6f6c2afe178c25,65,44,21,0.1997627369105549
37ed50eea5a1e0bade3e6753793b6caeb061cd4c2f365658c257f69cab1f6288,38,33,5,0.3477232219158567
0ddd8deaf1696db68b00c600601c6a74a0502caaf274222c8367bdc31458ae7e,32,28,4,0.3998585972292116
a6515d73077866808ad4cb837ecdac33612527b8a1041e82135e40fce2bb9380,15,18,3,0.13451998897160186
fa751ff3a6332c95cb5cb1d28563553914295e9e7d35c4b6bd267241e8a0787c,43,39,4,0.6247870643727306
6af82abb29539000be4696884fc822d3cafcb2105906dc7582c92dccad8948c5,45,43,2,0.5813789548818724
356d9903d16074f152fe8f2f0ef555d9959c53264228eae7373cad5cf35d4e85,54,42,12,0.4843598989256554
be771d6831e3f8f1af4696bc08a582f163735db5baf9906e4729acc6a05e1187,18,17,1,0.3786623395134687
0c2550a23b8a0f29a7575de8c61690d3c31bc897dd5ba66caec201d201a278c2,73,50,23,0.26936239274066026
af576e8ec3a8d0b57eb6a311299e9e4fd2047970d3dd9d6f52e54ea6a91109da,2,1,1,0.3
4829177d0b36abdd92c4ef0c7834cbc49f95232076bdd7e828f1f7cbb5ed80ec,8,7,1,0.715530303030303
c2a646a819f59a4e816e0ee8ea00ba10d5de9ac20b5a435c41192637790dabee,64,58,6,0.6001389656101082
